ID,FileName,Length,Volume
Player_Attack,PlayerAttack.wav,0.371,0.8
Player_Hit,PlayerHitted.wav,0.235,1
Player_Hit_Critical,PlayerHittedCritical.wav,0.115,1
Player_Dead,PlayerDead.wav,0.904,0.5
Get_Reward,GetReward.wav,0.5773,1
LevelUp,LevelUp.wav,2.011,1
Warrior_Roar,Roar.wav,1.198,0.5
Warrior_Smash,Smash.wav,1.204,1
Mage_Fireball,FireBall.wav,0.381,1
Mage_Overload,Overload.wav,1.202,1
Archer_Aim,Aim.wav,1.004,1
Archer_MultiShot,MultiShot.wav,0.95,0.9
Priest_Blessing,Blessing.wav,1.2,1
Priest_Healing,Healing.wav,0.918,1
RecruitEvent,Creak2.wav,0.83,1
Recruit,DoorOpen_2.wav,1.002,0.9
Item_Get,GetItem.wav,0.86,1
Item_Buy,BuyItem.wav,0.309,1
Item_Sell,SellItem.wav,1,1
Item_Potion,UseItem.wav,0.404,1
Item_Weapon,PowerUp.wav,1.201,1
Get_Gold,Coin01.wav,1.02,1
Slime_Attack,SlimeAttack.wav,0.729,1
Slime_Dead,SlimeDead.wav,0.83,0.5
Slime_Hit,SlimeHitted.wav,0.386,1
Rat_Attack,RatAttack.wav,1.202,0.5
Rat_Dead,RatDead.wav,1.138,1
Rat_Hit,RatHitted.wav,0.508,0.7
Goblin_Attack,GoblinAttack.wav,0.589,0.8
Goblin_Dead,GoblinDead.wav,0.48,0.5
Goblin_Hit,GoblinHitted.wav,0.231,0.8
Bat_Attack,BatAttack.wav,0.785,1
Bat_Dead,FlyingMobDead.wav,0.744,0.5
Bat_Hit,BatHitted.wav,0.503,1
Skeleton_Attack,SkeletonAttack.wav,0.138,1
Skeleton_Dead,GhostDead.wav,2.107,0.8
Skeleton_Hit,SkeletonHitted.wav,0.313,1
Zombie_Attack,ZombieAttack.wav,0.333,1
Zombie_Dead,ZombieDead.wav,1.438,0.8
Zombie_Hit,ZombieHitted.wav,0.5,1
Gargoyle_Attack,GolemAttack.wav,0.864,0.5
Gargoyle_Dead,GolemDead.wav,2.103,0.5
Gargoyle_Hit,GolemHitted.wav,0.328,1
RuinGurdian_Attack,GolemAttack.wav,0.864,0.5
RuinGurdian_Dead,GolemDead.wav,2.103,0.5
RuinGurdian_Hit,GolemHit.wav,0.328,1
Harpy_Attack,HarpyAttack.wav,0.354,0.6
Harpy_Dead,HarpyDead.wav,1.327,0.6
Harpy_Hit,HarpyHitted.wav,0.226,1
Basilisk_Attack,BasiliskAttack.wav,0.375,1
Basilisk_Dead,BasiliskDead.wav,0.755,0.5
Basilisk_Hit,BasiliskHitted.wav,0.5,1
Wolf_Attack,WolfAttack.wav,0.414,0.8
Wolf_Dead,WolfDead.wav,0.481,0.8
Wolf_Hit,WolfHitted.wav,0.921,0.8
Yeti_Attack,YetiAttack.wav,0.646,0.6
Yeti_Dead,YetiDead.wav,0.716,0.6
Yeti_Hit,YetiHitted.wav,0.499,1
Void_Attack,VoidAttack.wav,1.206,0.9
Void_Dead,VoidDead.wav,1.434,0.9
Void_Hit,VoidHitted.wav,0.5,0.9
Demon_Attack,DemonAttack.wav,1.203,0.7
Demon_Dead,DemonDead.wav,1.225,0.7
Demon_Hit,DemonHitted.wav,0.501,0.7
Beholder_Attack,GhostAttack.wav,1.2,1
Beholder_Dead,BeholderDead.wav,1.705,0.5
Beholder_Hit,GhostHitted.wav,0.503,1
Rich_Attack,GhostAttack.wav,1.2,1
Rich_Dead,GhostDead.wav,0.48,0.5
Rich_Hit,GhostHitted.wav,0.503,1
Shade_Attack,GhostAttack.wav,1.2,1
Shade_Dead,GhostDead.wav,0.48,0.5
Shade_Hit,GhostHitted.wav,0.503,1
LivingStatue_Attack,GolemAttack.wav,0.864,0.5
LivingStatue_Dead,GolemDead.wav,2.103,0.5
LivingStatue_Hit,GolemHit.wav,0.328,1
BigRat_Attack,RatAttack.wav,1.202,0.5
BigRat_Dead,RatDead.wav,1.138,1
BigRat_Hit,RatHitted.wav,0.508,0.7
GoblinRabblemaster_Attack,GoblinAttack.wav,0.589,0.8
GoblinRabblemaster_Dead,GoblinDead.wav,0.48,0.5
GoblinRabblemaster_Hit,GoblinHitted.wav,0.231,0.8
SkeletonKnight_Attack,SkeletonKnightAttack.wav,0.514,0.9
SkeletonKnight_Dead,GhostDead.wav,0.48,0.5
SkeletonKnight_Hit,SkeletonKnightHitted.wav,0.503,0.8
ObsidianGolem_Attack,GolemAttack.wav,0.864,0.5
ObsidianGolem_Dead,GolemDead.wav,2.103,0.5
ObsidianGolem_Hit,GolemHit.wav,0.328,1
HarpyQueen_Attack,HarpyAttack.wav,0.354,0.6
HarpyQueen_Dead,HarpyDead.wav,1.327,0.6
HarpyQueen_Hit,HarpyHit.wav,0.226,1
WhiteFang_Attack,WolfAttack.wav,0.414,0.8
WhiteFang_Dead,WolfDead.wav,0.481,0.8
WhiteFang_Hit,WolfHitted.wav,0.921,0.8
BloodyHound_Attack,WolfAttack.wav,0.414,0.8
BloodyHound_Dead,WolfDead.wav,0.481,0.8
BloodyHound_Hit,WolfHitted.wav,0.921,0.8
ChaosEye_Attack,AbyssAttack.wav,1.136,0.8
ChaosEye_Dead,AbyssDead.wav,3.034,0.8
ChaosEye_Hit,GhostHitted.wav,0.503,1
AbyssButler_Attack,AbyssAttack.wav,1.136,0.8
AbyssButler_Dead,AbyssDead.wav,3.034,0.8
AbyssButler_Hit,GhostHitted.wav,0.503,1
BGM_0,BGM_NoneSet01.wav,82,0.5
BGM_NoneSet01,BGM_NoneSet01.wav,82,0.5
BGM_NoneSet02,BGM_NoneSet02.wav,82.909,0.5
BGM_NoneSet03,BGM_NoneSet03.wav,60.022,0.5
BGM_NoneSet04,BGM_NoneSet04.wav,15.01,0.5
BGM_NoneSet05,BGM_NoneSet05.wav,50.759,0.5
BGM_1,Ambient_01_Sewer.wav,20.063,1
BGM_2,Ambient_02_AbandonedMine.wav,70.157,0.8
BGM_3,BGM_3.wav,240.741,0.5
BGM_4,BGM_4.wav,189.474,0.5
BGM_5,BGM_5.wav,158.869,0.5
BGM_6,BGM_06_SnowField.wav,249.013,0.8
BGM_7,BGM_7.wav,225,0.5
BGM_8,BGM_8.wav,92.773,0.5
BGM_9,BGM_09_Altar.wav,71.231,0.5
BGM_10,BGM_10.wav,229.868,0.5
BGM_11,BGM_11_GameOver.wav,11.087,0.5
BGM_12,BGM_12_GameClear.wav,27.951,0.5
BGM_Shop,BGM_Shop.wav,64,0.8
Boss_Voice1,BossVoice_IamDeath.wav,0.557,0.5
Boss_Voice2,BossVoice_IamTheDarkness.wav,1.779,0.5
Boss_Voice3,BossVoice_YouCannotEscapeDeath.wav,2.44,0.5
Boss_Dead,Boss_Dead.wav,2.907,0.8
Boss_Attack1,Boss_Attack1.wav,0.921,0.5
Boss_Attack2,Boss_Attack2.wav,1.333,0.5
Boss_Debuff,Boss_Debuff.wav,1.207,1
FootStep_1,FootStep_1.wav,0.282,1
FootStep_2,FootStep_2.wav,0.242,1
FootStep_3,FootStep_3.wav,0.269,1
FootStep_4,FootStep_4.wav,0.323,1
FootStep_5,FootStep_5.wav,0.276,1
FootStep_6,FootStep_6.wav,0.242,1
FootStep_7,FootStep_7.wav,0.256,1
FootStep_8,FootStep_8.wav,0.256,1
FootStep_9,FootStep_9.wav,0.215,1
